Suit; Metric; Memory Usage
InstanceGraph;6.59e-05;0KB
InstanceGraph;0.0001091;0KB
InstanceGraph;0.0001427;0KB
InstanceGraph;5.03e-05;0KB
InstanceGraph;2.93e-05;0KB
InstanceGraph;6.36e-05;0KB
InstanceGraph;3.42e-05;0KB
InstanceGraph;3.09e-05;0KB
InstanceGraph;5.6e-05;0KB
InstanceGraph;3.69e-05;0KB
InstanceGraph;0.0001844;0KB
InstanceGraph;0.0001018;0KB
InstanceGraph;0.0001382;0KB
InstanceGraph;0.0001631;0KB
InstanceGraph;9.4e-05;0KB
InstanceGraph;0.0002886;0KB
InstanceGraph;0.0004405;0KB
InstanceGraph;0.0001802;0KB
InstanceGraph;0.000248;0KB
InstanceGraph;0.0002648;0KB
InstanceGraph;0.0051831;0KB
InstanceGraph;0.0002411;0KB
InstanceGraph;0.0002077;0KB
InstanceGraph;6.6e-05;0KB
InstanceGraph;0.0002838;0KB
InstanceGraph;0.0007575;0KB
InstanceGraph;0.0002035;0KB
InstanceGraph;0.000219;0KB
InstanceGraph;0.0010198;0KB
