Suit; Metric; Memory Usage
FileSystem;0.0297149;950317933856825398KB
FileSystem;0.0001014;3544394677768757303KB
FileSystem;0.0002004;724289198247260209KB
FileSystem;0.0001948;724289198247260209KB
FileSystem;0.0002062;3611948612166103584KB
FileSystem;0.000175;3611948612166103584KB
FileSystem;1.15121;3611948612166103584KB
FileSystem;1.12682;3611948612166103584KB
FileSystem;1.10526;3611948612166103584KB
FileSystem;1.16724;3611948612166103584KB
FileSystem;1.0917;3611948612166103584KB
FileSystem;0.0012891;2319389199166354737KB
FileSystem;0.0017846;0KB
